0.4,-0.14
0.7,-0.12
1,-0.14
1.3,-0.12
1.6,-0.12
1.8,-0.14
2.2,-0.12
2.5,-0.12
2.8,-0.12
3,-0.12
3.4,-0.12
3.6,-0.12
3.9,-0.12
4.2,-0.12
4.6,-0.12
4.8,-0.12
5.2,-0.12
5.5,-0.12
5.6,-0.12
6,-0.12
6.3,-0.1
6.6,-0.12
6.9,-0.12
7.2,-0.12
7.5,-0.12
7.8,-0.12
8.1,-0.1
8.3,-0.12
8.6,-0.1
9,-0.1
9.3,-0.12
9.5,-0.1
9.8,-0.1
10.1,-0.1
10.4,-0.09
10.7,-0.06
10.9,-0.04
11.3,-0.03
11.6,0
11.9,0.03
12.1,0.06
12.5,0.09
12.7,0.14
13,0.18
13.3,0.2
13.6,0.24
13.9,0.3
14.2,0.32
14.5,0.36
14.8,0.39
15,0.43
15.3,0.49
15.6,0.53
15.9,0.57
16.2,0.61
16.5,0.66
16.8,0.7
17.1,0.73
17.4,0.8
17.7,0.81
17.9,0.84
18.2,0.8
18.5,0.73
18.9,0.68
19.1,0.57
19.4,0.53
19.7,0.43
20,0.34
20.3,0.26
20.6,0.17
20.8,0.12
21.2,0.04
21.5,0
21.7,-0.04
22,-0.06
22.3,-0.07
22.6,-0.09
22.9,-0.1
23.1,-0.1
23.5,-0.1
23.7,-0.1
24,-0.1
24.3,-0.12
24.6,-0.12
24.8,-0.12
25.2,-0.12
25.5,-0.12
25.8,-0.12
26,-0.12
26.3,-0.1
26.6,-0.07
26.9,0.09
27.3,0.32
27.5,0.51
27.7,0.66
28.1,0.77
28.3,0.92
28.7,1.05
29,1.2
29.2,1.35
29.5,1.47
29.8,1.78
30.1,1.71
30.4,1.78
30.6,1.91
31,1.98
31.2,2.08
31.5,2.17
31.8,2.25
32.1,2.33
32.3,2.43
32.7,2.49
32.9,2.6
33.2,2.65
33.5,2.75
33.8,2.82
34.1,2.9
34.4,2.97
34.6,3.04
34.9,3.04
35.2,3.04
35.5,2.96
35.8,2.83
36.1,2.75
36.3,2.63
36.7,2.55
36.9,2.42
37.2,2.27
37.5,2.1
37.8,1.95
38.1,1.83
38.3,1.68
38.7,1.51
39,1.4
39.2,1.29
39.5,1.19
39.8,0.99
40.1,0.85
40.4,0.77
40.7,0.6
40.9,0.47
41.3,0.33
41.5,0.26
41.8,0.14
42.1,0.03
42.4,-0.04
42.6,-0.06
42.9,-0.06
43.2,-0.06
43.5,0.04
43.8,0.2
44.1,0.26
44.3,0.34
44.6,0.41
44.9,0.51
45.2,0.65
45.5,0.96
45.8,0.96
46.1,1.32
46.3,1.27
46.6,1.4
46.8,1.53
47.1,1.68
47.5,1.88
47.7,2.02
48,2.15
48.3,2.33
48.6,2.46
48.9,2.67
49.2,2.82
49.5,2.97
49.7,3.12
50,3.25
50.3,3.4
50.5,3.58
50.8,3.75
51.2,3.93
51.4,4.04
51.7,4.16
52,4.26
52.3,4.37
52.5,4.44
52.9,4.46
53.2,4.49
53.4,4.49
53.7,4.51
53.9,4.51
54.2,4.5
54.6,4.41
54.8,4.33
55.1,4.32
55.4,4.23
55.6,4.16
55.9,4.04
56.2,3.94
56.5,3.87
56.7,3.73
57.1,3.66
57.4,3.5
57.6,3.38
57.9,3.21
58.2,3.08
58.4,2.92
58.7,2.79
59,2.58
59.2,2.48
59.6,2.33
59.9,2.25
60.1,2.25
60.4,2.23
60.7,2.13
60.9,2.22
61.3,2.01
61.4,1.94
61.8,1.94
62.1,2
62.4,2
62.6,2.01
62.9,2.07
63.2,2.06
63.5,2.1
63.8,2.19
64.1,2.23
64.3,2.33
64.6,2.43
64.9,2.48
65.1,2.61
65.4,2.65
65.7,2.81
66,2.92
66.3,3.08
66.6,3.18
66.8,3.35
67.1,3.48
67.4,3.6
67.6,3.83
67.9,3.99
68.2,4.14
68.4,4.29
68.8,4.51
69,4.67
69.3,4.8
69.6,4.93
69.9,5.1
70.1,5.25
70.4,5.36
70.7,5.5
70.9,5.64
71.2,5.73
71.5,5.91
71.8,6.01
72.1,6.11
72.4,6.15
72.6,6.22
72.9,6.32
73.2,6.38
73.4,6.43
73.7,6.5
74,6.48
74.3,6.54
74.6,6.54
74.9,6.55
75.1,6.54
75.4,6.53
75.7,6.51
75.9,6.48
76.2,6.43
76.4,6.46
76.7,6.43
77.1,6.45
77.3,6.42
77.6,6.36
77.9,6.32
78.2,6.27
78.4,6.27
78.7,6.25
78.9,6.25
79.2,6.29
79.3,6.27
