#,x,y,ex,ey
0,106.5,0.01,2
0.05,100.9,0.01,2
0.1,94.8,0.01,2
0.15,87.5,0.01,2
0.2,82.3,0.01,2
0.25,78.6,0.01,2
0.3,72.9,0.01,2
0.35,66.7,0.01,2
0.4,59.8,0.01,2
0.45,54.4,0.01,2
0.5,48.9,0.01,2
0.55,43.7,0.01,2
0.6,39.6,0.01,2
0.65,35.9,0.01,2
0.7,32.4,0.01,2
0.75,29.7,0.01,2
0.8,27.2,0.01,2
0.85,25,0.01,2
0.9,23.2,0.01,2
0.95,21.5,0.01,2
1,20,0.01,2
1.05,18.9,0.01,2
1.1,17.8,0.01,2
1.15,16.8,0.01,2
1.2,16.1,0.01,2
1.25,15.3,0.01,2
1.3,14.7,0.01,2
1.35,14.2,0.01,2
1.4,13.7,0.01,2
1.45,13.3,0.01,2
1.5,12.8,0.01,2
1.55,12.5,0.01,2
1.6,12.1,0.01,2
1.65,11.8,0.01,2
1.7,11.6,0.01,2
1.75,11.3,0.01,2
1.8,11.1,0.01,2
1.85,10.9,0.01,2
1.9,10.7,0.01,2
1.95,10.5,0.01,2
2,10.4,0.01,2
2.5,9.3,0.01,2
3,8.9,0.01,2
3.5,8.8,0.01,2
4,8.7,0.01,2
4.5,8.6,0.01,2
5,8.6,0.01,2
5.5,8.6,0.01,2
6,8.7,0.01,2
6.5,8.7,0.01,2
7,8.7,0.01,2
7.5,8.7,0.01,2
8,8.7,0.01,2
8.41,8.7,0.01,2
