0.03,-0.1
0.17,-0.12
0.43,-0.1
0.72,-0.1
1.02,-0.09
1.31,-0.09
1.59,-0.08
1.84,-0.06
2.13,-0.05
2.43,-0.01
2.69,0.03
2.97,-0.05
3.26,-0.06
3.55,-0.06
3.83,-0.06
4.11,-0.06
4.36,-0.07
4.67,-0.06
4.93,-0.14
5.22,0.01
5.49,0.04
5.76,0.15
6.03,0.2
6.31,0.35
6.58,0.5
6.87,0.66
7.16,0.77
7.43,0.79
7.69,0.56
7.96,0.32
8.25,0.2
8.54,0.09
8.79,0.05
9.07,0.1
9.36,0.08
9.63,0.17
9.9,0.26
10.18,0.39
10.46,0.55
10.73,0.78
11.01,1.04
11.27,1.31
11.55,1.67
11.84,1.98
12.1,2.08
12.38,1.84
12.66,1.36
12.92,0.96
13.2,0.63
13.49,0.43
13.74,0.34
14.03,0.3
14.29,0.38
14.56,0.46
14.85,0.66
15.12,0.88
15.4,1.21
15.69,1.57
15.93,1.98
16.23,2.46
16.49,2.88
16.77,3.29
17.04,3.33
17.31,3
17.6,2.46
17.85,1.93
18.15,1.32
18.41,1.04
18.69,0.82
18.95,0.76
19.23,0.78
19.5,0.88
19.77,1.08
20.07,1.35
20.33,1.75
20.58,2.21
20.88,2.75
21.14,3.33
21.43,3.87
21.71,4.27
21.95,4.34
22.23,4.14
22.5,3.73
22.77,3.02
23.05,2.48
23.31,1.97
23.6,1.63
23.86,1.42
24.13,1.34
24.42,1.4
24.66,1.56
24.94,1.86
25.23,2.24
25.5,2.68
25.79,3.29
26.03,3.88
26.3,4.43
26.56,4.89
26.88,5.12
27.12,5.04
27.4,4.78
27.68,4.29
27.95,3.83
28.21,3.3
28.49,2.92
28.76,2.54
29.02,2.37
29.28,2.31
29.55,2.3
29.83,2.48
30.1,2.77
30.39,3.19
30.63,3.71
30.64,4.26
